Source,Target,Type,Id,Label,timeset,Weight
1292021606.0,2498145998.0,Directed,0,,,3
1.0971750857424691e+18,1292021606.0,Directed,78591,,,2
2498145998.0,3091392485.0,Directed,36277,,,2
2498145998.0,599114492.0,Directed,22774,,,4
1.4413396097580687e+18,2498145998.0,Directed,141437,,,2
1.4975598764232786e+18,2498145998.0,Directed,116491,,,2
1.5784381063149363e+18,2498145998.0,Directed,111176,,,2
1.4303955765003346e+18,2498145998.0,Directed,93104,,,3
1368982465.0,2498145998.0,Directed,86299,,,3
1.5715605263663473e+18,2498145998.0,Directed,71274,,,4
1585953751.0,2498145998.0,Directed,70127,,,2
632213506.0,2498145998.0,Directed,69243,,,3
1.4165084287558124e+18,2498145998.0,Directed,58225,,,2
1.4997958354874655e+18,2498145998.0,Directed,56336,,,2
480757316.0,2498145998.0,Directed,56192,,,2
1.0014101082434437e+18,2498145998.0,Directed,50818,,,2
611828784.0,2498145998.0,Directed,39959,,,15
1.0760299312121938e+18,2498145998.0,Directed,30972,,,8
9.588264564775035e+17,2498145998.0,Directed,28961,,,3
2319258554.0,2498145998.0,Directed,28012,,,2
1.4993281760860406e+18,2498145998.0,Directed,27363,,,2
935072220.0,2498145998.0,Directed,23082,,,2
1.512437262591701e+18,2498145998.0,Directed,23077,,,33
1.2963539372017992e+18,2498145998.0,Directed,22692,,,14
3306425891.0,2498145998.0,Directed,21351,,,2
140034886.0,2498145998.0,Directed,16855,,,3
1.3045294856986624e+18,2498145998.0,Directed,14333,,,3
2939292959.0,2498145998.0,Directed,13540,,,7
964632865.0,2498145998.0,Directed,11150,,,12
9.223424681962086e+17,2498145998.0,Directed,10546,,,2
89929672.0,2498145998.0,Directed,10335,,,16
9.346262890041672e+17,2498145998.0,Directed,10288,,,10
440826500.0,2498145998.0,Directed,9857,,,9
1.4112259652341105e+18,2498145998.0,Directed,8899,,,8
1.4979445475313132e+18,2498145998.0,Directed,7660,,,2
1.0438376375205028e+18,2498145998.0,Directed,4794,,,22
7.123085655418552e+17,2498145998.0,Directed,4638,,,4
1949944004.0,2498145998.0,Directed,4264,,,30
540892234.0,2498145998.0,Directed,4164,,,7
1.4975436780129362e+18,2498145998.0,Directed,3968,,,2
7.881019299771802e+17,2498145998.0,Directed,3599,,,6
1084574058.0,2498145998.0,Directed,1964,,,5
1.0010064980829348e+18,2498145998.0,Directed,1850,,,21
7.368969777498399e+17,2498145998.0,Directed,1373,,,19
54854833.0,2498145998.0,Directed,1341,,,8
1053517680.0,2498145998.0,Directed,1239,,,60
931597488.0,2498145998.0,Directed,948,,,32
520536260.0,2498145998.0,Directed,759,,,23
1.497556530534699e+18,2498145998.0,Directed,231,,,4
1914835855.0,2498145998.0,Directed,137,,,2
184425554.0,2498145998.0,Directed,69,,,4
1.552587579899478e+18,2498145998.0,Directed,65,,,3
500073147.0,730811617.0,Directed,13238,,,2
980074483.0,730811617.0,Directed,8551,,,2
2496362534.0,730811617.0,Directed,8271,,,2
9.667021650950595e+17,730811617.0,Directed,7447,,,2
447452303.0,730811617.0,Directed,6699,,,2
1.0408906392007803e+18,730811617.0,Directed,3784,,,2
1673695388.0,730811617.0,Directed,3498,,,2
1.5496835941798707e+18,730811617.0,Directed,2846,,,2
1.2551297839580078e+18,730811617.0,Directed,2743,,,2
